Iñigo Ruiz de Galarreta,ESP,MF,30-274,26,23,1911,21.2,1,1,2,1,0,0,5,0,0.3,0.3,1.4,1.7,24,133,30,0.05,0.05,0.09,0.05,0.09,0.01,0.06,0.08,0.01,0.08,2024,Athletic Club
Iñigo Lekue,ESP,DF,31-002,24,19,1732,19.2,0,2,2,0,0,0,4,0,0.2,0.2,1.1,1.2,39,106,34,0,0.1,0.1,0,0.1,0.01,0.06,0.06,0.01,0.06,2024,Athletic Club
Yuri Berchiche,ESP,DF,34-086,24,19,1692,18.8,3,1,4,3,0,0,4,0,0.8,0.7,1.6,2.3,29,120,67,0.16,0.05,0.21,0.16,0.21,0.05,0.09,0.13,0.04,0.12,2024,Athletic Club
Mikel Vesga,ESP,MF,30-351,25,17,1456,16.2,3,1,4,1,2,2,2,0,2.7,1.1,1.2,2.3,9,81,24,0.19,0.06,0.25,0.06,0.12,0.16,0.07,0.24,0.07,0.14,2024,Athletic Club
Beñat Prados,ESP,"MF,DF",23-088,23,14,1257,14,0,0,0,0,0,0,1,0,0.5,0.5,0.5,1,19,73,24,0,0,0,0,0,0.03,0.03,0.07,0.03,0.07,2024,Athletic Club
Álex Berenguer,ESP,FW,28-307,31,12,1351,15,6,2,8,5,1,1,4,0,4.9,4.1,2.9,7,52,25,125,0.4,0.13,0.53,0.33,0.47,0.33,0.19,0.52,0.27,0.47,2024,Athletic Club
Yeray Álvarez,ESP,DF,29-103,16,11,927,10.3,0,0,0,0,0,0,1,1,0.2,0.2,0.1,0.3,12,46,2,0,0,0,0,0,0.02,0.01,0.03,0.02,0.03,2024,Athletic Club
Ander Herrera,ESP,MF,34-266,21,9,952,10.6,0,2,2,0,0,0,3,0,0.7,0.7,1.2,1.8,10,83,16,0,0.19,0.19,0,0.19,0.06,0.11,0.17,0.06,0.17,2024,Athletic Club
Unai Gómez,ESP,MF,20-347,22,8,712,7.9,2,0,2,2,0,0,1,0,1.4,1.4,0.5,1.9,17,23,40,0.25,0,0.25,0.25,0.25,0.17,0.06,0.24,0.17,0.24,2024,Athletic Club
Dani García,ESP,MF,33-348,15,5,581,6.5,1,0,1,1,0,0,4,0,0.8,0.8,0.1,0.9,2,28,3,0.15,0,0.15,0.15,0.15,0.12,0.01,0.13,0.12,0.13,2024,Athletic Club
Imanol,ESP,DF,23-333,7,4,403,4.5,0,0,0,0,0,0,2,0,0,0,0.2,0.2,12,17,14,0,0,0,0,0,0,0.04,0.05,0,0.05,2024,Athletic Club
