id,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,Season,Team
28,Calderón,es ESP,DF,21.0,1,0,65.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,5.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.09,0.0,0.09,Matches,2022,Real Betis
29,Loren Morón,es ESP,FW,27.0,1,0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2022,Real Betis
30,Raúl,es ESP,"FW,DF",20.0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2022,Real Betis
31,Fran Delgado,es ESP,DF,20.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2022,Real Betis
32,Yassin Fekir,fr FRA,FW,24.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2022,Real Betis
33,Marchena,es ESP,MF,19.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2022,Real Betis
34,Rebollo,es ESP,GK,21.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2022,Real Betis
35,Joel Robles,es ESP,GK,31.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2022,Real Betis
36,Sidnei,br BRA,DF,31.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2022,Real Betis
37,Squad Total,,,28.9,38,418,3420.0,38.0,60.0,45.0,105.0,54.0,6.0,6.0,87.0,6.0,53.5,48.8,37.7,86.5,666.0,1518.0,1501.0,1.58,1.18,2.76,1.42,2.61,1.41,0.99,2.4,1.29,2.28,,2022,Real Betis
38,Opponent Total,,,27.4,38,418,3420.0,38.0,38.0,29.0,67.0,35.0,3.0,3.0,74.0,3.0,43.4,41.1,30.2,71.3,686.0,1375.0,1356.0,1.0,0.76,1.76,0.92,1.68,1.14,0.79,1.94,1.08,1.88,,2022,Real Betis
0,Robin Le Normand,es ESP,DF,24.0,37,37,3330.0,37.0,1.0,1.0,2.0,1.0,0.0,0.0,6.0,0.0,1.5,1.5,0.5,2.0,27.0,115.0,4.0,0.03,0.03,0.05,0.03,0.05,0.04,0.01,0.05,0.04,0.05,Matches,2022,Real Sociedad
1,Álex Remiro,es ESP,GK,26.0,35,35,3150.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2022,Real Sociedad
2,Mikel Merino,es ESP,MF,25.0,34,33,2890.0,32.1,3.0,2.0,5.0,3.0,0.0,0.0,8.0,0.0,4.1,4.1,3.6,7.6,30.0,204.0,92.0,0.09,0.06,0.16,0.09,0.16,0.13,0.11,0.24,0.13,0.24,Matches,2022,Real Sociedad
3,Martín Zubimendi,es ESP,MF,22.0,36,26,2591.0,28.8,2.0,1.0,3.0,2.0,0.0,0.0,4.0,0.0,2.2,2.2,0.6,2.8,24.0,129.0,23.0,0.07,0.03,0.1,0.07,0.1,0.08,0.02,0.1,0.08,0.1,Matches,2022,Real Sociedad
4,Alexander Isak,se SWE,FW,21.0,32,26,2140.0,23.8,6.0,2.0,8.0,4.0,2.0,2.0,6.0,0.0,9.8,8.2,3.2,11.4,58.0,43.0,160.0,0.25,0.08,0.34,0.17,0.25,0.41,0.13,0.55,0.35,0.48,Matches,2022,Real Sociedad
5,Andoni Gorosabel,es ESP,DF,24.0,32,25,2289.0,25.4,0.0,4.0,4.0,0.0,0.0,0.0,4.0,0.0,0.5,0.5,2.7,3.2,51.0,99.0,110.0,0.0,0.16,0.16,0.0,0.16,0.02,0.11,0.13,0.02,0.13,Matches,2022,Real Sociedad
6,Aritz Elustondo,es ESP,DF,27.0,30,22,2105.0,23.4,4.0,1.0,5.0,4.0,0.0,0.0,3.0,1.0,1.6,1.6,0.1,1.7,20.0,85.0,12.0,0.17,0.04,0.21,0.17,0.21,0.07,0.0,0.07,0.07,0.07,Matches,2022,Real Sociedad
7,David Silva,es ESP,MF,35.0,25,22,1720.0,19.1,2.0,4.0,6.0,2.0,0.0,0.0,4.0,1.0,3.1,3.1,4.5,7.5,65.0,147.0,105.0,0.1,0.21,0.31,0.1,0.31,0.16,0.24,0.39,0.16,0.39,Matches,2022,Real Sociedad
8,Alexander Sørloth,no NOR,FW,25.0,33,20,1763.0,19.6,4.0,0.0,4.0,4.0,0.0,0.0,2.0,0.0,5.9,5.9,3.4,9.4,55.0,33.0,112.0,0.2,0.0,0.2,0.2,0.2,0.3,0.18,0.48,0.3,0.48,Matches,2022,Real Sociedad
9,Mikel Oyarzabal,es ESP,"FW,MF",24.0,22,19,1671.0,18.6,9.0,3.0,12.0,5.0,4.0,5.0,0.0,1.0,9.3,5.4,3.7,9.0,51.0,46.0,144.0,0.48,0.16,0.65,0.27,0.43,0.5,0.2,0.7,0.29,0.49,Matches,2022,Real Sociedad
10,Igor Zubeldia,es ESP,DF,24.0,26,19,1648.0,18.3,0.0,1.0,1.0,0.0,0.0,0.0,7.0,0.0,0.6,0.6,1.0,1.6,8.0,63.0,3.0,0.0,0.05,0.05,0.0,0.05,0.03,0.05,0.09,0.03,0.09,Matches,2022,Real Sociedad
11,Diego Rico,es ESP,DF,28.0,21,19,1644.0,18.3,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.2,0.2,0.9,1.1,24.0,92.0,70.0,0.0,0.0,0.0,0.0,0.0,0.01,0.05,0.06,0.01,0.06,Matches,2022,Real Sociedad
12,Adnan Januzaj,be BEL,"FW,MF",26.0,33,17,1625.0,18.1,3.0,0.0,3.0,1.0,2.0,2.0,5.0,0.0,4.1,2.5,2.9,5.4,65.0,80.0,140.0,0.17,0.0,0.17,0.06,0.06,0.23,0.16,0.39,0.14,0.3,Matches,2022,Real Sociedad
13,Portu,es ESP,"FW,MF",29.0,37,17,1590.0,17.7,1.0,2.0,3.0,0.0,1.0,1.0,5.0,0.0,2.9,2.1,2.5,4.6,44.0,41.0,150.0,0.06,0.11,0.17,0.0,0.11,0.16,0.14,0.3,0.12,0.26,Matches,2022,Real Sociedad
14,Aihen Muñoz,es ESP,DF,23.0,20,15,1342.0,14.9,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.1,0.1,0.4,0.5,32.0,51.0,55.0,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.04,0.01,0.03,Matches,2022,Real Sociedad
15,Joseba Zaldúa,es ESP,DF,29.0,24,14,1172.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.1,0.1,0.2,0.3,17.0,37.0,57.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.02,0.01,0.02,Matches,2022,Real Sociedad
16,Rafinha,br BRA,MF,28.0,17,13,1050.0,11.7,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,2.5,2.5,0.5,3.0,34.0,54.0,31.0,0.09,0.0,0.09,0.09,0.09,0.22,0.04,0.26,0.22,0.26,Matches,2022,Real Sociedad
17,Ander Guevara,es ESP,MF,24.0,17,11,867.0,9.6,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.3,0.4,8.0,48.0,11.0,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.04,0.01,0.04,Matches,2022,Real Sociedad
18,Ander Barrenetxea,es ESP,"FW,MF",19.0,11,6,547.0,6.1,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.5,0.5,0.8,1.3,20.0,22.0,72.0,0.16,0.16,0.33,0.16,0.33,0.08,0.14,0.22,0.08,0.22,Matches,2022,Real Sociedad
19,Asier Illarramendi,es ESP,MF,31.0,8,6,374.0,4.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3,0.3,0.0,19.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.07,0.0,0.07,Matches,2022,Real Sociedad
20,Jon Pacheco,es ESP,DF,20.0,10,4,381.0,4.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2022,Real Sociedad
21,Mathew Ryan,au AUS,GK,29.0,3,3,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2022,Real Sociedad
22,Roberto Navarro,es ESP,"MF,FW",19.0,6,3,199.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.5,5.0,9.0,15.0,0.0,0.0,0.0,0.0,0.0,0.22,0.02,0.24,0.22,0.24,Matches,2022,Real Sociedad
23,Julen Lobete,es ESP,"FW,MF",20.0,13,2,284.0,3.2,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,3.0,4.0,29.0,0.63,0.0,0.63,0.63,0.63,0.33,0.01,0.33,0.33,0.33,Matches,2022,Real Sociedad
24,Naïs Djouahra,fr FRA,"FW,MF",21.0,7,1,219.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.5,0.7,14.0,5.0,18.0,0.0,0.0,0.0,0.0,0.0,0.11,0.21,0.32,0.11,0.32,Matches,2022,Real Sociedad
25,Beñat Turrientes,es ESP,MF,19.0,8,1,207.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4,0.4,0.2,0.6,3.0,11.0,6.0,0.0,0.0,0.0,0.0,0.0,0.18,0.08,0.26,0.18,0.26,Matches,2022,Real Sociedad
26,Jon Guridi,es ESP,MF,26.0,8,1,206.0,2.3,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.9,0.9,0.1,1.0,3.0,8.0,5.0,0.44,0.0,0.44,0.44,0.44,0.39,0.06,0.45,0.39,0.45,Matches,2022,Real Sociedad
27,Ander Martin,es ESP,"FW,MF",20.0,5,1,88.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,3.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.1,0.07,0.17,0.1,0.17,Matches,2022,Real Sociedad
28,Germán Valera,es ESP,FW,19.0,3,0,51.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.06,0.06,0.06,Matches,2022,Real Sociedad
29,Jon Bautista,es ESP,MF,26.0,1,0,45.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.15,0.15,0.15,Matches,2022,Real Sociedad
30,Alex Sola,es ESP,"DF,FW",22.0,2,0,41.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.18,0.28,0.46,0.18,0.46,Matches,2022,Real Sociedad
31,Cristo,es ESP,DF,21.0,1,0,17.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.03,0.39,0.41,0.03,0.41,Matches,2022,Real Sociedad
32,Gaizka Ayesa,es ESP,GK,20.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2022,Real Sociedad
33,Jonathan Gomez,us USA,DF,17.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2022,Real Sociedad
34,Urko González,es ESP,DF,20.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2022,Real Sociedad
35,Jon Karrikaburu,es ESP,FW,18.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2022,Real Sociedad
36,Unai Marrero,es ESP,GK,19.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2022,Real Sociedad
37,Olasagasti,es ESP,MF,20.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2022,Real Sociedad
38,Squad Total,,,25.7,38,418,3420.0,38.0,40.0,22.0,62.0,31.0,9.0,10.0,77.0,4.0,51.5,43.8,32.9,76.7,667.0,1462.0,1447.0,1.05,0.58,1.63,0.82,1.39,1.36,0.87,2.22,1.15,2.02,,2022,Real Sociedad
39,Opponent Total,,,27.7,38,418,3420.0,38.0,37.0,28.0,65.0,32.0,5.0,6.0,95.0,2.0,38.7,34.0,28.1,62.1,587.0,1206.0,1191.0,0.97,0.74,1.71,0.84,1.58,1.02,0.74,1.76,0.89,1.63,,2022,Real Sociedad
0,Pau Torres,es ESP,DF,24.0,33,33,2855.0,31.7,5.0,1.0,6.0,5.0,0.0,0.0,5.0,0.0,3.0,3.0,1.5,4.5,59.0,162.0,10.0,0.16,0.03,0.19,0.16,0.19,0.09,0.05,0.14,0.09,0.14,Matches,2022,Villarreal
1,Gerónimo Rulli,ar ARG,GK,29.0,32,32,2880.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2022,Villarreal
2,Daniel Parejo,es ESP,MF,32.0,33,32,2704.0,30.0,2.0,10.0,12.0,1.0,1.0,1.0,3.0,0.0,1.5,0.7,6.9,7.6,36.0,256.0,36.0,0.07,0.33,0.4,0.03,0.37,0.05,0.23,0.28,0.02,0.25,Matches,2022,Villarreal
3,Raúl Albiol,es ESP,DF,35.0,28,28,2465.0,27.4,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.4,0.4,0.1,0.5,11.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.02,0.01,0.02,Matches,2022,Villarreal
4,Manu Trigueros,es ESP,"MF,FW",29.0,35,27,2178.0,24.2,6.0,4.0,10.0,6.0,0.0,0.0,3.0,0.0,5.7,5.7,2.6,8.3,30.0,185.0,96.0,0.25,0.17,0.41,0.25,0.41,0.24,0.11,0.34,0.24,0.34,Matches,2022,Villarreal
5,Étienne Capoue,fr FRA,MF,33.0,30,26,2290.0,25.4,1.0,1.0,2.0,1.0,0.0,0.0,9.0,0.0,0.5,0.5,0.5,1.1,44.0,134.0,29.0,0.04,0.04,0.08,0.04,0.08,0.02,0.02,0.04,0.02,0.04,Matches,2022,Villarreal
6,Juan Foyth,ar ARG,DF,23.0,25,22,1924.0,21.4,1.0,1.0,2.0,1.0,0.0,0.0,6.0,1.0,0.7,0.7,1.1,1.8,48.0,91.0,35.0,0.05,0.05,0.09,0.05,0.09,0.03,0.05,0.08,0.03,0.08,Matches,2022,Villarreal
7,Yeremi Pino,es ESP,"MF,FW",18.0,31,21,1678.0,18.6,6.0,4.0,10.0,6.0,0.0,0.0,2.0,0.0,5.5,5.5,3.5,9.0,43.0,38.0,164.0,0.32,0.21,0.54,0.32,0.54,0.29,0.19,0.48,0.29,0.48,Matches,2022,Villarreal
8,Alfonso Pedraza,es ESP,DF,25.0,28,19,1701.0,18.9,4.0,4.0,8.0,4.0,0.0,0.0,2.0,0.0,1.9,1.9,5.2,7.2,94.0,64.0,182.0,0.21,0.21,0.42,0.21,0.42,0.1,0.28,0.38,0.1,0.38,Matches,2022,Villarreal
9,Pervis Estupiñán,ec ECU,DF,23.0,28,17,1575.0,17.5,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.8,0.8,2.5,3.3,50.0,70.0,148.0,0.0,0.06,0.06,0.0,0.06,0.04,0.14,0.19,0.04,0.19,Matches,2022,Villarreal
10,Arnaut Danjuma,nl NED,FW,24.0,23,17,1472.0,16.4,10.0,3.0,13.0,7.0,3.0,3.0,1.0,0.0,11.9,9.5,2.2,11.7,71.0,27.0,172.0,0.61,0.18,0.79,0.43,0.61,0.73,0.14,0.86,0.58,0.72,Matches,2022,Villarreal
11,Aïssa Mandi,dz ALG,DF,29.0,17,14,1375.0,15.3,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,2.3,2.3,0.1,2.3,7.0,54.0,2.0,0.07,0.0,0.07,0.07,0.07,0.15,0.0,0.15,0.15,0.15,Matches,2022,Villarreal
12,Gerard Moreno,es ESP,FW,29.0,17,14,1191.0,13.2,9.0,3.0,12.0,8.0,1.0,2.0,2.0,0.0,7.4,5.8,4.9,10.7,29.0,67.0,95.0,0.68,0.23,0.91,0.6,0.83,0.56,0.37,0.93,0.44,0.81,Matches,2022,Villarreal
13,Moi Gómez,es ESP,"MF,FW",27.0,29,13,1286.0,14.3,2.0,2.0,4.0,2.0,0.0,0.0,2.0,0.0,2.6,2.6,2.7,5.3,26.0,71.0,83.0,0.14,0.14,0.28,0.14,0.28,0.18,0.19,0.37,0.18,0.37,Matches,2022,Villarreal
14,Boulaye Dia,sn SEN,FW,24.0,25,13,1269.0,14.1,5.0,5.0,10.0,5.0,0.0,0.0,3.0,0.0,5.4,5.4,2.4,7.8,22.0,16.0,93.0,0.35,0.35,0.71,0.35,0.71,0.39,0.17,0.56,0.39,0.56,Matches,2022,Villarreal
15,Alberto Moreno,es ESP,"MF,DF",29.0,24,13,1223.0,13.6,3.0,2.0,5.0,3.0,0.0,0.0,3.0,0.0,3.1,3.1,1.9,5.0,34.0,53.0,87.0,0.22,0.15,0.37,0.22,0.37,0.23,0.14,0.37,0.23,0.37,Matches,2022,Villarreal
16,Samuel Chukwueze,ng NGA,"MF,FW",22.0,27,12,1333.0,14.8,3.0,3.0,6.0,3.0,0.0,0.0,4.0,0.0,4.6,4.6,4.6,9.3,89.0,41.0,164.0,0.2,0.2,0.41,0.2,0.41,0.31,0.31,0.63,0.31,0.63,Matches,2022,Villarreal
17,Vicente Iborra,es ESP,MF,33.0,20,12,1034.0,11.5,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.7,0.7,0.4,1.0,5.0,48.0,7.0,0.0,0.09,0.09,0.0,0.09,0.06,0.03,0.09,0.06,0.09,Matches,2022,Villarreal
18,Giovani Lo Celso,ar ARG,"FW,MF",25.0,16,11,994.0,11.0,1.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0,1.1,1.1,2.4,3.5,33.0,68.0,71.0,0.09,0.09,0.18,0.09,0.18,0.1,0.22,0.32,0.1,0.32,Matches,2022,Villarreal
19,Serge Aurier,ci CIV,DF,28.0,19,10,1010.0,11.2,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.8,0.8,1.4,2.3,21.0,59.0,53.0,0.0,0.09,0.09,0.0,0.09,0.07,0.13,0.2,0.07,0.2,Matches,2022,Villarreal
20,Paco Alcácer,es ESP,FW,27.0,18,10,787.0,8.7,1.0,3.0,4.0,1.0,0.0,0.0,1.0,0.0,3.9,3.9,1.6,5.5,4.0,10.0,45.0,0.11,0.34,0.46,0.11,0.46,0.45,0.19,0.63,0.45,0.63,Matches,2022,Villarreal
21,Francis Coquelin,fr FRA,MF,30.0,20,8,830.0,9.2,2.0,1.0,3.0,2.0,0.0,0.0,3.0,0.0,0.3,0.3,0.8,1.1,14.0,56.0,39.0,0.22,0.11,0.33,0.22,0.33,0.03,0.08,0.12,0.03,0.12,Matches,2022,Villarreal
22,Mario Gaspar,es ESP,DF,30.0,12,7,623.0,6.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3,0.3,0.6,0.9,6.0,22.0,22.0,0.0,0.0,0.0,0.0,0.0,0.05,0.08,0.13,0.05,0.13,Matches,2022,Villarreal
23,Sergio Asenjo,es ESP,GK,32.0,6,6,540.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2022,Villarreal
24,Rubén Peña,es ESP,"MF,FW",30.0,7,1,132.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,1.1,1.3,5.0,3.0,14.0,0.0,0.0,0.0,0.0,0.0,0.16,0.74,0.9,0.16,0.9,Matches,2022,Villarreal
25,Nicolas Jackson,sn SEN,"FW,MF",20.0,9,0,165.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.5,1.4,6.0,4.0,20.0,0.0,0.0,0.0,0.0,0.0,0.52,0.26,0.78,0.52,0.78,Matches,2022,Villarreal
26,Dani Raba,es ESP,"MF,FW",25.0,7,0,89.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3,0.3,1.0,5.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.35,0.0,0.35,Matches,2022,Villarreal
27,Carlo,es ESP,MF,20.0,1,0,7.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2022,Villarreal
28,Nikita Iosifov,ru RUS,MF,20.0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2022,Villarreal
29,Iker Álvarez,ad AND,GK,20.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2022,Villarreal
30,Arana,es ESP,FW,21.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2022,Villarreal
31,Jorge Cuenca,es ESP,DF,21.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2022,Villarreal
32,Filip Jørgensen,dk DEN,GK,19.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2022,Villarreal
33,Adrián de la Fuente,es ESP,DF,22.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2022,Villarreal
34,Lanchi,es ESP,DF,20.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2022,Villarreal
35,Antonio Pacheco,es ESP,MF,19.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2022,Villarreal
36,Squad Total,,,28.0,38,418,3420.0,38.0,62.0,51.0,113.0,57.0,5.0,6.0,81.0,1.0,64.2,60.0,50.9,110.9,790.0,1698.0,1683.0,1.63,1.34,2.97,1.5,2.84,1.69,1.34,3.03,1.58,2.92,,2022,Villarreal
37,Opponent Total,,,27.6,38,418,3420.0,38.0,36.0,20.0,56.0,32.0,4.0,5.0,98.0,3.0,44.8,41.1,30.2,71.4,583.0,1095.0,1087.0,0.95,0.53,1.47,0.84,1.37,1.18,0.8,1.97,1.08,1.88,,2022,Villarreal
0,Unai Simón,es ESP,GK,24.0,34,34,3060.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2022,Athletic Club
1,Iker Muniain,es ESP,MF,28.0,35,34,2785.0,30.9,4.0,10.0,14.0,3.0,1.0,3.0,3.0,0.0,5.8,3.4,9.5,12.8,81.0,218.0,161.0,0.13,0.32,0.45,0.1,0.42,0.19,0.31,0.49,0.11,0.41,Matches,2022,Athletic Club
2,Iñaki Williams,gh GHA,FW,27.0,38,32,2777.0,30.9,8.0,5.0,13.0,7.0,1.0,1.0,4.0,0.0,14.1,13.3,5.7,19.0,76.0,45.0,316.0,0.26,0.16,0.42,0.23,0.39,0.46,0.18,0.64,0.43,0.61,Matches,2022,Athletic Club
3,Unai Vencedor Paris,es ESP,MF,20.0,34,29,2383.0,26.5,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.9,0.9,0.7,1.6,16.0,180.0,20.0,0.0,0.0,0.0,0.0,0.0,0.03,0.02,0.06,0.03,0.06,Matches,2022,Athletic Club
4,Dani García,es ESP,MF,31.0,32,27,2177.0,24.2,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.6,0.6,0.6,1.1,10.0,115.0,7.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.05,0.02,0.05,Matches,2022,Athletic Club
5,Iñigo Martínez,es ESP,DF,30.0,27,26,2341.0,26.0,3.0,0.0,3.0,3.0,0.0,0.0,9.0,2.0,2.0,2.0,0.5,2.5,29.0,78.0,8.0,0.12,0.0,0.12,0.12,0.12,0.08,0.02,0.09,0.08,0.09,Matches,2022,Athletic Club
6,Álex Berenguer,es ESP,MF,26.0,34,24,2168.0,24.1,3.0,6.0,9.0,3.0,0.0,1.0,8.0,0.0,5.2,4.5,5.4,9.9,59.0,77.0,202.0,0.12,0.25,0.37,0.12,0.37,0.22,0.23,0.44,0.19,0.41,Matches,2022,Athletic Club
7,Raúl García,es ESP,FW,35.0,35,24,1802.0,20.0,6.0,2.0,8.0,6.0,0.0,1.0,3.0,0.0,6.1,5.3,2.7,8.0,12.0,87.0,113.0,0.3,0.1,0.4,0.3,0.4,0.3,0.13,0.44,0.26,0.4,Matches,2022,Athletic Club
8,Mikel Balenziaga,es ESP,DF,33.0,26,23,2027.0,22.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.4,0.5,29.0,68.0,66.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.02,0.01,0.02,Matches,2022,Athletic Club
9,Daniel Vivian,es ESP,DF,22.0,24,22,1986.0,22.1,2.0,1.0,3.0,2.0,0.0,0.0,2.0,0.0,1.3,1.3,0.5,1.8,3.0,56.0,2.0,0.09,0.05,0.14,0.09,0.14,0.06,0.02,0.08,0.06,0.08,Matches,2022,Athletic Club
10,Iñigo Lekue,es ESP,DF,28.0,25,22,1925.0,21.4,0.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,0.1,0.1,2.3,2.5,52.0,84.0,72.0,0.0,0.09,0.09,0.0,0.09,0.01,0.11,0.11,0.01,0.11,Matches,2022,Athletic Club
11,Yeray Álvarez,es ESP,DF,26.0,22,21,1860.0,20.7,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.5,0.5,0.1,0.6,16.0,64.0,4.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.03,0.02,0.03,Matches,2022,Athletic Club
12,Óscar de Marcos,es ESP,DF,32.0,22,19,1679.0,18.7,1.0,2.0,3.0,1.0,0.0,0.0,5.0,0.0,0.3,0.3,2.1,2.4,42.0,92.0,91.0,0.05,0.11,0.16,0.05,0.16,0.01,0.12,0.13,0.01,0.13,Matches,2022,Athletic Club
